State,District,Grp_Buy,Strata75,Strata50,Inc_Republican,Hisp_To_2004,Hisp_To_2002,Hisp_To_2006,To_Change_2002,Statewide_Race_2006,Hisp_Perc_Reg,Nonhisp_To_2006,Nonhisp_To_2002,Nonhisp_To_2004,Nonhisp_Perc_Reg
Pennsylvania,11,0,0,0,0,50.20999908,21.95999908,31.37999916,9.420000076,1,2,48,39,62,98
Pennsylvania,12,0,1,0,0,58.38000107,45.59999847,43.93000031,-1.669998169,1,1,42,39,52,99
Pennsylvania,13,50,0,1,0,66.98999786,30.70999908,37.54000092,6.830001831,1,3,53,44,69,97
Pennsylvania,15,0,1,0,1,34.90000153,20.81999969,21.62000084,0.800001144,1,4,41,37,37,96
Pennsylvania,16,0,1,0,1,48.70999908,15.27999973,14.60000038,-0.679999352,1,5,46,39,67,95
Pennsylvania,17,0,0,0,0,45.09000015,22.95999908,23.98999977,1.030000687,1,2,44,43,50,98
Pennsylvania,18,0,1,0,1,18.51000023,45.81999969,46.61000061,0.790000916,1,1,47,40,18,99
Pennsylvania,19,0,0,0,1,51.54999924,20.5,31.76000023,11.26000023,1,1,50,34,59,99
Rhode Island,1,100,0,0,0,57.40000153,36.45999908,52,15.54000092,1,12,62,45,63,88
Rhode Island,2,100,0,0,0,47.59000015,32.88999939,51.20000076,18.31000137,1,8,63,48,67,92
South Dakota,,0,0,0,0,62.88000107,45.45999908,49.70000076,4.240001678,1,1,65,57,71,99
Tennessee,2,0,0,0,1,57.70000076,14.89999962,37.79999924,22.89999962,1,0.005,51,28,66,99.99500275
Tennessee,3,0,0,0,1,51.29999924,25.10000038,35.70000076,10.60000038,1,0.005,50,39,62,99.99500275
Tennessee,4,0,1,0,0,52.5,26.5,37.5,11,1,0.004,51,43,62,99.9960022
Tennessee,5,0,1,0,0,55.70000076,24.89999962,34.09999847,9.199998856,1,1,54,42,67,99
Tennessee,6,0,1,0,0,53.79999924,26,35.29999924,9.299999237,1,0.004,51,41,64,99.9960022
Tennessee,7,0,1,0,1,61.09999847,30.20000076,38.5,8.299999237,1,0.005,53,43,66,99.99500275
Tennessee,8,0,1,0,0,45,22,29.20000076,7.200000763,1,0.003,50,42,61,99.99700165
Texas,1,100,0,0,1,9.43999958,16.10000038,13.10000038,-3,1,3,27,30,21,97
Texas,2,0,0,1,1,33.63000107,23.04999924,21.79999924,-1.25,1,7,33,31,57,93
Texas,3,50,0,1,1,47.95000076,22.43000031,23.79999924,1.369998932,1,6,37,32,76,94
Texas,4,0,0,1,1,38.49000168,16.51000023,22.60000038,6.090000153,1,3,37,28,53,97
Texas,5,0,0,1,1,43.33000183,22.17000008,21,-1.170000076,1,5,31,30,54,95
Texas,6,0,0,1,1,34.91999817,20.96999931,21.60000038,0.630001068,1,7,38,33,46,93
Texas,7,50,0,1,1,50.59999847,25.96999931,25.29999924,-0.670000076,1,7,42,38,64,93
Texas,8,0,0,0,1,9.069999695,21.03000069,35.09999847,14.06999779,1,3,41,29,45,97
Texas,10,0,0,1,1,25.86000061,23.15999985,24.5,1.340000153,1,8,40,33,63,92
Texas,12,50,0,1,1,40.38999939,23.71999931,23.10000038,-0.619998932,1,10,39,31,50,90
Texas,13,0,0,0,1,29.78000069,18.04999924,14,-4.049999237,1,8,30,33,44,92
Texas,14,50,0,1,1,30.54000092,16.68000031,23.10000038,6.420000076,1,12,38,21,36,88
Texas,15,0,0,1,0,24.94000053,17.38999939,19.20000076,1.810001373,1,44,26,18,29,56
Texas,17,0,0,0,0,3.819999933,16.40999985,20.89999962,4.489999771,1,6,36,25,28,94
Texas,18,0,0,1,0,39.43999863,22.89999962,17.70000076,-5.199998856,1,14,28,29,51,86
Texas,19,0,0,0,1,34.86999893,19.92000008,17.60000038,-2.319999695,1,15,39,33,52,85
Texas,20,0,0,1,0,42.00999832,22.5,22,-0.5,1,47,29,25,50,53
Texas,21,0,1,0,1,45.45999908,24.51000023,29.20000076,4.690000534,1,11,44,32,58,89
Texas,23,0,0,1,1,31.23999977,18.59000015,20.60000038,2.010000229,1,39,33,26,48,61
Texas,24,0,0,1,1,44.16999817,21.56999969,23,1.430000305,1,9,38,32,59,91
Texas,25,0,1,0,0,13.07999992,23.62999916,23.89999962,0.270000458,1,14,38,27,61,86
Texas,26,0,0,1,1,42.93999863,21.20999908,21.60000038,0.390001297,1,6,36,31,58,94
Texas,27,0,0,1,0,15.85000038,24.25,25.29999924,1.049999237,1,42,35,28,23,58
Texas,28,0,0,1,0,24.79000092,25.64999962,17.70000076,-7.949998856,1,45,19,25,49,55
Texas,29,0,0,1,0,37.56999969,23.38999939,16.5,-6.88999939,1,41,26,26,48,59
Texas,30,0,0,1,0,36.47000122,22.53000069,19.89999962,-2.630001068,1,11,33,31,55,89
Texas,31,0,1,0,1,2.859999895,18.79000092,22.29999924,3.509998322,1,8,36,27,52,92
