treat_cond,prop_teammates_other_caste,prop_opponents_other_caste,baseline_prop_other_caste_nbrs,baseline_bowl_test_speed,n_other_caste_friends,n_other_caste_future_friends,bins_teammates_other_caste,bins_opponents_other_caste,bin_midpoint_opponents
team_mix,0.5,0.675000011920929,0.16129031777381897,77,4,12,25-50%,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.824999988079071,0.40740740299224854,83,6,10,50-75%,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.6499999761581421,0.7962962985038757,86,0,3,25-50%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.6567164063453674,83,0,0,NA,NA,NA
team_mix,0.75,0.42500001192092896,0.4000000059604645,89,3,7,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,0.25,0.699999988079071,0.3181818127632141,80,7,7,0-25%,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.699999988079071,0.47826087474823,77,0,0,50-75%,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.699999988079071,0.35483869910240173,81,2,8,50-75%,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.6000000238418579,0.16129031777381897,85,14,17,50-75%,"(0.575,0.625]",0.615526324824283
team_mix,1,0.574999988079071,0.3181818127632141,85,17,30,75-100%,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.6499999761581421,0.16129031777381897,99,1,4,NA,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.675000011920929,0.3181818127632141,80,NA,NA,NA,"(0.65,0.675]",0.675000011920929
team_mix,0.5,0.7749999761581421,0,86,1,5,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.7250000238418579,0.47826087474823,87,1,6,NA,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.35483869910240173,90,3,3,NA,NA,NA
team_mix,0.25,0.6000000238418579,0.5714285969734192,84,2,5,0-25%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.14814814925193787,87,0,3,NA,NA,NA
