treat_cond,prop_teammates_other_caste,prop_opponents_other_caste,baseline_prop_other_caste_nbrs,baseline_bowl_test_speed,n_other_caste_friends,n_other_caste_future_friends,bins_teammates_other_caste,bins_opponents_other_caste,bin_midpoint_opponents
control,NA,NA,0.35820895433425903,94,5,5,NA,NA,NA
team_mix,1,0.75,0.07692307978868484,90,1,4,75-100%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.625,0.3731343448162079,87,3,6,NA,"(0.575,0.625]",0.615526324824283
team_mix,0.5,0.675000011920929,0.3731343448162079,81,5,5,25-50%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.5249999761581421,0.515625,83,6,14,NA,"(0.35,0.525]",0.49381187086058137
team_mix,0.5,0.800000011920929,0.575757622718811,90,7,14,25-50%,"(0.775,0.8]",0.800000011920929
team_hom,0,0.7250000238418579,0.07692307978868484,77,16,21,NA,"(0.7,0.725]",0.7250000238418579
team_mix,1,0.6499999761581421,0.07692307978868484,68,2,11,75-100%,"(0.625,0.65]",0.6499999761581421
team_mix,1,0.5249999761581421,0.575757622718811,89,1,1,75-100%,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0.550000011920929,82,7,7,NA,NA,NA
control,NA,NA,0.8823529481887817,75,1,2,NA,NA,NA
team_hom,0,0.675000011920929,0.523809552192688,76,9,11,NA,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.9047619104385376,78,2,4,NA,NA,NA
control,NA,NA,0.3731343448162079,57,0,1,NA,NA,NA
team_hom,0,0.675000011920929,0.3731343448162079,78,3,7,NA,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.07692307978868484,78,1,2,NA,NA,NA
control,NA,NA,0.515625,99,3,4,NA,NA,NA
team_mix,0.75,0.42500001192092896,0.35820895433425903,75,NA,NA,50-75%,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0,83,0,1,NA,NA,NA
team_hom,0,0.7250000238418579,0.696969747543335,91,0,0,NA,"(0.7,0.725]",0.7250000238418579
team_mix,0.5,0.75,0,77,4,11,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.800000011920929,0.07692307978868484,74,3,10,NA,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.47058823704719543,93,4,4,NA,NA,NA
team_hom,0,0.6499999761581421,0.5357142686843872,77,2,6,NA,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.40740740299224854,90,0,0,NA,NA,NA
team_hom,0,0.875,0.5714285969734192,90,4,7,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.675000011920929,0.6567164063453674,69,0,1,NA,"(0.65,0.675]",0.675000011920929
team_mix,0.5,0.6499999761581421,0.40740740299224854,81,1,1,25-50%,"(0.625,0.65]",0.6499999761581421
team_mix,0.75,0.699999988079071,0.4571428596973419,93,0,1,50-75%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.696969747543335,82,4,5,NA,NA,NA
team_hom,0,0.675000011920929,0.4571428596973419,90,13,17,NA,"(0.65,0.675]",0.675000011920929
team_hom,0,0.675000011920929,0.5714285969734192,75,0,0,NA,"(0.65,0.675]",0.675000011920929
team_hom,0,0.625,0.47058823704719543,103,11,26,NA,"(0.575,0.625]",0.615526324824283
team_mix,0.25,0.6000000238418579,0.5714285969734192,73,1,1,0-25%,"(0.575,0.625]",0.615526324824283
team_mix,0.25,0.699999988079071,0.5714285969734192,83,0,1,0-25%,"(0.675,0.7]",0.699999988079071
team_mix,1,0.7250000238418579,0.40740740299224854,84,0,3,75-100%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.35483869910240173,88,0,8,NA,NA,NA
team_hom,0,0.675000011920929,0.696969747543335,86,5,8,NA,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.675000011920929,0.261904776096344,87,4,8,50-75%,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.699999988079071,0.35483869910240173,84,2,5,50-75%,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.824999988079071,0.4571428596973419,72,0,4,50-75%,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.625,0.761904776096344,77,0,4,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.07692307978868484,80,0,1,NA,NA,NA
control,NA,NA,0.261904776096344,92,0,0,NA,NA,NA
control,NA,NA,0.3181818127632141,86,3,6,NA,NA,NA
control,NA,NA,0.35483869910240173,58,0,0,NA,NA,NA
team_hom,0,0.800000011920929,0,92,3,6,NA,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.261904776096344,90,0,3,NA,NA,NA
control,NA,NA,0.5714285969734192,90,2,9,NA,NA,NA
control,NA,NA,0.261904776096344,81,1,2,NA,NA,NA
team_hom,0,0.6499999761581421,0,86,0,3,NA,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.4000000059604645,100,3,3,NA,NA,NA
team_mix,0.5,0.675000011920929,0.6567164063453674,84,4,4,25-50%,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.8214285373687744,84,0,2,NA,NA,NA
team_mix,1,0.625,0.16129031777381897,86,0,7,75-100%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.949999988079071,88,4,21,NA,NA,NA
team_mix,0.25,0.7250000238418579,0.703125,82,2,29,0-25%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.35483869910240173,87,5,25,NA,NA,NA
team_mix,1,0.675000011920929,0.47058823704719543,95,3,15,75-100%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.824999988079071,0.40740740299224854,95,0,1,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.25,0.75,0.7307692170143127,82,0,3,0-25%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.7250000238418579,0.4571428596973419,85,3,7,NA,"(0.7,0.725]",0.7250000238418579
team_hom,0,0.675000011920929,0.35483869910240173,91,0,2,NA,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.5357142686843872,81,1,1,NA,NA,NA
control,NA,NA,0.6666666865348816,73,5,10,NA,NA,NA
team_hom,0,0.625,0.47058823704719543,96,NA,NA,NA,"(0.575,0.625]",0.615526324824283
team_mix,0.75,0.824999988079071,0.47826087474823,99,2,2,50-75%,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.699999988079071,0.40740740299224854,88,1,1,25-50%,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.7250000238418579,0.7962962985038757,88,4,7,50-75%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.75,75,4,9,NA,NA,NA
control,NA,NA,0.47058823704719543,75,0,1,NA,NA,NA
control,NA,NA,0.5714285969734192,84,1,5,NA,NA,NA
team_mix,0.5,0.75,0.47058823704719543,89,3,6,25-50%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.5357142686843872,68,3,4,NA,NA,NA
control,NA,NA,0.35483869910240173,77,5,7,NA,NA,NA
team_mix,0.75,0.675000011920929,0.07692307978868484,86,3,3,50-75%,"(0.65,0.675]",0.675000011920929
team_mix,0.5,0.6000000238418579,0.4571428596973419,79,1,5,25-50%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.800000011920929,0.40740740299224854,87,NA,NA,NA,"(0.775,0.8]",0.800000011920929
team_mix,0.5,0.5,0.8214285373687744,69,4,7,25-50%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.5249999761581421,0.4000000059604645,85,0,4,NA,"(0.35,0.525]",0.49381187086058137
team_mix,1,0.6000000238418579,0.3181818127632141,92,4,10,75-100%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.47826087474823,69,1,1,NA,NA,NA
team_hom,0,0.574999988079071,0.703125,99,0,1,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.16129031777381897,86,6,11,NA,NA,NA
team_mix,1,0.699999988079071,0.703125,100,5,5,75-100%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0,82,3,3,NA,NA,NA
control,NA,NA,0.36666667461395264,79,3,6,NA,NA,NA
team_hom,0,0.625,0,88,2,11,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0,83,3,3,NA,NA,NA
team_hom,0,0.6499999761581421,0,82,1,1,NA,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.36666667461395264,82,2,3,NA,NA,NA
team_mix,1,0.625,0,87,0,2,75-100%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.675000011920929,0,89,0,2,NA,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.47058823704719543,97,1,2,NA,NA,NA
control,NA,NA,0.761904776096344,87,1,2,NA,NA,NA
control,NA,NA,0.8214285373687744,68,3,7,NA,NA,NA
team_mix,0.75,0.574999988079071,0.14814814925193787,82,4,10,50-75%,"(0.525,0.575]",0.5640410944207074
team_mix,0.5,0.6499999761581421,0.4000000059604645,74,0,0,25-50%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.7307692170143127,81,2,4,NA,NA,NA
